test_id,branch,N,k2,k4,mc_M,m,p_analytic,p_mc
NHS-SYNTH-NONPSD-v2,PSD,10,0.02,0.00015,640000,-10,0.022446588662019852,0.02287785407463627
NHS-SYNTH-NONPSD-v2,PSD,10,0.02,0.00015,640000,-8,0.045065804459519174,0.045392311850287616
NHS-SYNTH-NONPSD-v2,PSD,10,0.02,0.00015,640000,-6,0.07611163466546,0.07602435326989422
NHS-SYNTH-NONPSD-v2,PSD,10,0.02,0.00015,640000,-4,0.11639975060546819,0.11596769327081172
NHS-SYNTH-NONPSD-v2,PSD,10,0.02,0.00015,640000,-2,0.15456986281942256,0.15395381442983377
NHS-SYNTH-NONPSD-v2,PSD,10,0.02,0.00015,640000,0,0.17081271757622032,0.17020703273108578
NHS-SYNTH-NONPSD-v2,PSD,10,0.02,0.00015,640000,2,0.15456986281942256,0.15409478279251132
NHS-SYNTH-NONPSD-v2,PSD,10,0.02,0.00015,640000,4,0.11639975060546819,0.11606722397043553
NHS-SYNTH-NONPSD-v2,PSD,10,0.02,0.00015,640000,6,0.07611163466546,0.07594825362199552
NHS-SYNTH-NONPSD-v2,PSD,10,0.02,0.00015,640000,8,0.045065804459519174,0.045366703613543106
NHS-SYNTH-NONPSD-v2,PSD,10,0.02,0.00015,640000,10,0.022446588662019852,0.024099976374965162
NHS-SYNTH-NONPSD-v2,nonPSD,10,0.02,-0.00015,640000,-10,0.0013531935768091243,0.0013558275926812584
NHS-SYNTH-NONPSD-v2,nonPSD,10,0.02,-0.00015,640000,-8,0.01596905048416756,0.015968784998949204
NHS-SYNTH-NONPSD-v2,nonPSD,10,0.02,-0.00015,640000,-6,0.06247271497459658,0.06248486555593972
NHS-SYNTH-NONPSD-v2,nonPSD,10,0.02,-0.00015,640000,-4,0.13052426576379944,0.1305785709908571
NHS-SYNTH-NONPSD-v2,nonPSD,10,0.02,-0.00015,640000,-2,0.18626584770014945,0.1863308171753874
NHS-SYNTH-NONPSD-v2,nonPSD,10,0.02,-0.00015,640000,0,0.20682985500095585,0.20687641295464526
NHS-SYNTH-NONPSD-v2,nonPSD,10,0.02,-0.00015,640000,2,0.18626584770014945,0.18629190246529628
NHS-SYNTH-NONPSD-v2,nonPSD,10,0.02,-0.00015,640000,4,0.13052426576379944,0.13051080241400312
NHS-SYNTH-NONPSD-v2,nonPSD,10,0.02,-0.00015,640000,6,0.06247271497459658,0.06238663846921895
NHS-SYNTH-NONPSD-v2,nonPSD,10,0.02,-0.00015,640000,8,0.01596905048416756,0.015874538441734237
NHS-SYNTH-NONPSD-v2,nonPSD,10,0.02,-0.00015,640000,10,0.0013531935768091243,0.0013408389412876318
